NodeID	NodeType
0	ntype_2
1	ntype_0
2	ntype_0
3	ntype_0
4	ntype_0
5	ntype_3
6	ntype_1
7	ntype_1
8	ntype_0
9	ntype_2
10	ntype_0
11	ntype_2
12	ntype_3
13	ntype_2
14	ntype_3
15	ntype_3
16	ntype_2
17	ntype_3
18	ntype_2
19	ntype_2
20	ntype_2
21	ntype_1
22	ntype_2
23	ntype_3
24	ntype_2
25	ntype_3
26	ntype_3
27	ntype_3
28	ntype_3
29	ntype_1
30	ntype_0
31	ntype_2
32	ntype_3
33	ntype_1
34	ntype_1
35	ntype_0
36	ntype_0
37	ntype_3
38	ntype_1
39	ntype_2
40	ntype_0
41	ntype_2
42	ntype_1
43	ntype_3
44	ntype_3
45	ntype_1
46	ntype_3
47	ntype_1
48	ntype_1
49	ntype_3
50	ntype_3
51	ntype_2
52	ntype_2
53	ntype_2
54	ntype_1
55	ntype_0
56	ntype_3
57	ntype_2
58	ntype_0
59	ntype_1
60	ntype_3
61	ntype_0
62	ntype_3
63	ntype_2
64	ntype_1
65	ntype_2
66	ntype_2
67	ntype_2
68	ntype_3
69	ntype_0
70	ntype_0
71	ntype_0
72	ntype_1
73	ntype_1
74	ntype_2
75	ntype_2
76	ntype_3
77	ntype_0
78	ntype_0
79	ntype_0
80	ntype_0
81	ntype_2
82	ntype_2
83	ntype_3
84	ntype_2
85	ntype_1
86	ntype_2
87	ntype_2
88	ntype_1
89	ntype_2
90	ntype_2
91	ntype_3
92	ntype_0
93	ntype_1
94	ntype_2
95	ntype_1
96	ntype_1
97	ntype_1
98	ntype_1
99	ntype_0
100	ntype_0
101	ntype_3
102	ntype_2
103	ntype_2
104	ntype_2
105	ntype_0
106	ntype_1
107	ntype_1
108	ntype_1
109	ntype_2
110	ntype_2
111	ntype_2
112	ntype_2
113	ntype_0
114	ntype_1
115	ntype_2
116	ntype_3
117	ntype_1
118	ntype_1
119	ntype_1
120	ntype_2
121	ntype_1
122	ntype_0
123	ntype_3
124	ntype_3
125	ntype_2
126	ntype_0
127	ntype_2
128	ntype_0
129	ntype_1
130	ntype_0
131	ntype_1
132	ntype_1
133	ntype_3
134	ntype_3
135	ntype_1
136	ntype_0
137	ntype_0
138	ntype_3
139	ntype_2
140	ntype_3
141	ntype_3
142	ntype_1
143	ntype_3
144	ntype_1
145	ntype_2
146	ntype_2
147	ntype_2
148	ntype_1
149	ntype_3
150	ntype_2
151	ntype_2
152	ntype_1
153	ntype_0
154	ntype_3
155	ntype_1
156	ntype_0
157	ntype_1
158	ntype_2
159	ntype_1
160	ntype_2
161	ntype_0
162	ntype_2
163	ntype_2
164	ntype_1
165	ntype_0
166	ntype_0
167	ntype_2
168	ntype_0
169	ntype_3
170	ntype_3
171	ntype_2
172	ntype_2
173	ntype_3
174	ntype_3
175	ntype_1
176	ntype_0
177	ntype_1
178	ntype_0
179	ntype_0
180	ntype_0
181	ntype_1
182	ntype_1
183	ntype_1
184	ntype_0
185	ntype_2
186	ntype_3
187	ntype_1
188	ntype_3
189	ntype_2
190	ntype_3
191	ntype_1
192	ntype_2
193	ntype_3
194	ntype_3
195	ntype_3
196	ntype_3
197	ntype_0
198	ntype_3
199	ntype_0
200	ntype_3
201	ntype_1
202	ntype_0
203	ntype_3
204	ntype_0
205	ntype_1
206	ntype_3
207	ntype_3
