0	820	Test Edge-Type
0	4391	Test Edge-Type
0	7959	Test Edge-Type
0	271	Test Edge-Type
0	646	Test Edge-Type
0	3735	Test Edge-Type
0	5912	Test Edge-Type
0	8407	Test Edge-Type
0	1839	Test Edge-Type
0	5316	Test Edge-Type
0	8833	Test Edge-Type
0	9110	Test Edge-Type
0	905	Test Edge-Type
0	8548	Test Edge-Type
0	9366	Test Edge-Type
0	5436	Test Edge-Type
0	8855	Test Edge-Type
0	1515	Test Edge-Type
0	7840	Test Edge-Type
0	8995	Test Edge-Type
1	820	Test Edge-Type
1	4391	Test Edge-Type
1	7959	Test Edge-Type
1	271	Test Edge-Type
1	646	Test Edge-Type
1	3735	Test Edge-Type
1	5912	Test Edge-Type
1	8407	Test Edge-Type
1	1839	Test Edge-Type
1	5316	Test Edge-Type
1	8833	Test Edge-Type
2	820	Test Edge-Type
2	4391	Test Edge-Type
2	7959	Test Edge-Type
2	271	Test Edge-Type
2	646	Test Edge-Type
2	3735	Test Edge-Type
2	5912	Test Edge-Type
2	8407	Test Edge-Type
2	1839	Test Edge-Type
2	5316	Test Edge-Type
2	8833	Test Edge-Type
3	820	Test Edge-Type
3	4391	Test Edge-Type
3	7959	Test Edge-Type
3	271	Test Edge-Type
3	646	Test Edge-Type
3	3735	Test Edge-Type
3	5912	Test Edge-Type
3	8407	Test Edge-Type
3	1839	Test Edge-Type
3	9110	Test Edge-Type
3	905	Test Edge-Type
3	8548	Test Edge-Type
3	5316	Test Edge-Type
3	8833	Test Edge-Type
3	9366	Test Edge-Type
3	5436	Test Edge-Type
3	8855	Test Edge-Type
3	6025	Test Edge-Type
3	3487	Test Edge-Type
3	6841	Test Edge-Type
3	439	Test Edge-Type
3	889	Test Edge-Type
3	1515	Test Edge-Type
3	7840	Test Edge-Type
4	820	Test Edge-Type
4	4391	Test Edge-Type
4	7959	Test Edge-Type
4	271	Test Edge-Type
4	646	Test Edge-Type
4	3735	Test Edge-Type
4	5912	Test Edge-Type
4	8407	Test Edge-Type
4	1839	Test Edge-Type
4	9110	Test Edge-Type
4	905	Test Edge-Type
4	8548	Test Edge-Type
4	5316	Test Edge-Type
4	8833	Test Edge-Type
4	9366	Test Edge-Type
4	5436	Test Edge-Type
4	8855	Test Edge-Type
4	6025	Test Edge-Type
5	820	Test Edge-Type
5	4391	Test Edge-Type
5	7959	Test Edge-Type
5	271	Test Edge-Type
5	646	Test Edge-Type
5	3735	Test Edge-Type
5	5912	Test Edge-Type
5	8407	Test Edge-Type
5	1839	Test Edge-Type
5	9110	Test Edge-Type
5	905	Test Edge-Type
5	8548	Test Edge-Type
5	3487	Test Edge-Type
6	820	Test Edge-Type
6	4391	Test Edge-Type
6	7959	Test Edge-Type
6	271	Test Edge-Type
6	646	Test Edge-Type
6	3735	Test Edge-Type
6	5912	Test Edge-Type
6	6841	Test Edge-Type
6	439	Test Edge-Type
6	889	Test Edge-Type
6	8995	Test Edge-Type
6	3358	Test Edge-Type
6	435	Test Edge-Type
6	8213	Test Edge-Type
7	820	Test Edge-Type
