NodeID	NodeType
0	ntype_0
1	ntype_1
2	ntype_3
3	ntype_1
4	ntype_0
5	ntype_2
6	ntype_3
7	ntype_0
8	ntype_1
9	ntype_0
10	ntype_0
11	ntype_0
12	ntype_3
13	ntype_3
14	ntype_3
15	ntype_0
16	ntype_3
17	ntype_3
18	ntype_3
19	ntype_0
20	ntype_2
21	ntype_2
22	ntype_3
23	ntype_0
24	ntype_2
25	ntype_0
26	ntype_2
27	ntype_1
28	ntype_2
29	ntype_3
30	ntype_2
31	ntype_1
32	ntype_0
33	ntype_0
34	ntype_1
35	ntype_0
36	ntype_1
37	ntype_3
38	ntype_3
39	ntype_1
40	ntype_1
41	ntype_1
42	ntype_0
43	ntype_3
44	ntype_1
45	ntype_3
46	ntype_2
47	ntype_3
48	ntype_1
49	ntype_0
50	ntype_3
51	ntype_1
52	ntype_2
53	ntype_3
54	ntype_2
55	ntype_2
56	ntype_1
57	ntype_3
58	ntype_0
59	ntype_3
60	ntype_3
61	ntype_0
62	ntype_3
63	ntype_1
64	ntype_1
65	ntype_0
66	ntype_1
67	ntype_0
68	ntype_2
69	ntype_2
70	ntype_2
71	ntype_2
72	ntype_1
73	ntype_1
74	ntype_2
75	ntype_3
76	ntype_1
77	ntype_2
78	ntype_0
79	ntype_2
80	ntype_3
81	ntype_2
82	ntype_1
83	ntype_3
84	ntype_3
85	ntype_3
86	ntype_1
87	ntype_0
88	ntype_3
89	ntype_3
90	ntype_2
91	ntype_3
92	ntype_1
93	ntype_0
94	ntype_2
95	ntype_0
96	ntype_3
97	ntype_3
98	ntype_0
99	ntype_3
100	ntype_0
101	ntype_1
102	ntype_3
103	ntype_3
104	ntype_1
105	ntype_1
106	ntype_3
107	ntype_2
108	ntype_1
109	ntype_3
110	ntype_2
111	ntype_1
112	ntype_2
113	ntype_1
114	ntype_2
115	ntype_2
116	ntype_2
117	ntype_2
118	ntype_3
119	ntype_2
120	ntype_2
121	ntype_2
122	ntype_3
123	ntype_3
124	ntype_1
125	ntype_2
126	ntype_2
127	ntype_3
128	ntype_3
129	ntype_0
130	ntype_3
131	ntype_2
132	ntype_1
133	ntype_2
134	ntype_2
135	ntype_1
136	ntype_0
137	ntype_3
138	ntype_3
139	ntype_1
140	ntype_2
141	ntype_3
142	ntype_0
143	ntype_2
144	ntype_1
145	ntype_3
146	ntype_0
147	ntype_1
148	ntype_2
149	ntype_2
150	ntype_0
151	ntype_0
152	ntype_2
153	ntype_1
154	ntype_2
155	ntype_0
156	ntype_3
157	ntype_2
158	ntype_2
159	ntype_2
160	ntype_2
161	ntype_0
162	ntype_0
163	ntype_1
164	ntype_3
165	ntype_2
166	ntype_3
167	ntype_3
168	ntype_3
169	ntype_2
170	ntype_2
